SEQN,SDDSRVYR,RIDSTATR,RIDEXMON,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDAGEEX,RIDRETH1,DMQMILIT,DMDBORN2,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDSCHOL,DMDMARTL,DMDHHSIZ,DMDFMSIZ,INDHHIN2,INDFMIN2,INDFMPIR,RIDEXPRG,DMDHRGND,DMDHRAGE,DMDHRBR2,DMDHREDU,DMDHRMAR,DMDHSEDU,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANG,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
56529,6,2,1,2,70,843,843,3,2,5,1,8,0,5,0,1,3,3,8,8,2,0,2,70,5,5,1,5,1,2,2,1,2,2,1,2,2,0,36334,38449,2,88
56530,6,2,1,2,4,49,49,3,0,1,1,0,0,0,0,0,6,6,5,5,0,0,1,34,1,2,1,0,1,1,2,1,2,2,0,0,0,0,12074,12836,2,80
56531,6,2,1,1,38,456,456,1,2,2,2,1,0,1,0,6,4,2,7,13,0,0,1,21,2,3,5,0,2,2,1,2,2,1,2,2,2,2,32633,34020,1,83
56532,6,2,2,1,56,674,674,3,1,1,1,0,0,3,0,4,3,2,6,3,1,0,1,56,1,3,4,0,1,2,2,1,2,2,1,2,2,1,16157,16287,1,80
56533,6,2,1,2,1,22,23,1,0,1,1,0,0,0,0,0,5,4,9,8,2,0,1,40,2,5,1,4,2,1,2,2,2,2,0,0,0,0,7882,8342,2,85
56534,6,2,1,2,19,235,236,4,2,5,1,5,15,0,1,0,1,1,2,2,0,0,2,19,5,4,0,0,1,2,2,1,2,2,0,0,0,0,12782,12708,1,84
56535,6,2,1,2,80,0,0,4,2,1,1,0,0,4,0,2,1,1,3,3,1,0,2,80,1,4,2,0,1,2,2,1,2,2,1,2,2,0,15177,15883,2,87
56536,6,2,2,2,67,804,805,3,2,1,1,0,0,3,0,1,2,2,7,7,2,0,2,67,1,3,1,2,1,2,2,1,2,2,1,2,2,1,79229,78374,1,87
56537,6,2,1,1,44,538,539,1,2,2,1,6,0,5,0,1,6,6,8,8,1,0,2,39,1,4,1,5,2,2,2,1,2,2,2,2,2,2,18468,19102,2,86
56538,6,2,2,2,0,10,11,4,0,1,1,0,0,0,0,0,3,3,14,14,4,0,1,40,1,3,1,4,1,1,2,1,2,2,0,0,0,0,11463,11092,2,78
56539,6,2,2,2,39,479,480,3,2,1,1,0,0,5,0,6,3,3,15,15,5,2,1,39,1,4,6,0,1,2,2,1,2,2,1,2,2,1,62144,64508,1,77
56540,6,2,2,2,1,19,19,3,0,1,1,0,0,0,0,0,7,7,5,5,0,0,2,47,1,4,1,3,1,1,2,1,2,2,0,0,0,0,6879,6987,1,80
56541,6,2,2,1,8,107,108,4,0,1,1,0,1,0,1,0,2,1,15,9,5,0,2,38,5,4,5,0,1,1,2,1,2,2,1,2,2,0,10709,11425,1,78
56542,6,2,1,1,76,918,918,1,1,1,1,0,0,4,0,3,1,1,8,8,4,0,1,76,1,4,3,0,1,2,2,1,2,2,1,2,2,0,10606,11412,1,82
56543,6,2,2,1,51,614,615,1,2,2,2,6,0,1,0,1,4,1,9,6,2,0,1,51,2,1,1,0,2,2,2,2,2,2,2,2,2,2,14486,14984,1,87
56544,6,2,2,2,9,111,111,3,0,1,1,0,3,0,1,0,3,3,5,5,1,0,2,45,1,2,6,0,1,1,2,1,2,2,1,2,2,0,19256,19546,2,81
56545,6,2,1,2,68,823,824,1,2,2,2,9,0,1,0,1,2,2,12,12,0,0,1,74,1,1,1,1,2,2,2,1,2,2,2,2,2,0,6878,6912,1,81
56546,6,2,2,1,39,479,480,3,2,1,1,0,0,2,0,1,5,5,14,14,3,0,1,39,1,2,1,4,1,2,2,1,2,2,1,2,2,1,56933,57949,2,76
56547,6,2,1,2,9,119,120,1,0,1,1,0,3,0,1,0,4,4,10,10,3,0,2,35,1,3,1,3,1,1,2,1,2,2,1,2,2,0,10664,11050,1,82
56548,6,2,1,2,21,262,262,3,2,1,1,0,0,4,0,5,5,5,6,6,1,2,2,45,1,2,3,0,1,2,2,1,2,2,1,2,2,1,26603,27105,2,82
56549,6,2,2,1,23,283,283,4,2,5,2,77,0,5,0,5,6,6,99,99,0,0,1,28,5,5,6,0,1,2,2,1,2,2,1,2,2,1,33335,34328,2,78
56550,6,2,1,2,52,635,635,4,2,1,1,0,0,2,0,4,1,1,1,1,0,0,2,52,1,2,4,0,1,2,2,1,2,2,1,2,2,0,29527,30131,1,83
56551,6,2,1,2,1,16,17,3,0,1,1,0,0,0,0,0,5,5,4,4,0,0,2,49,1,2,3,0,1,1,2,1,2,2,0,0,0,0,9702,10042,2,80
56552,6,2,1,2,3,45,46,1,0,1,1,0,0,0,0,0,3,3,6,6,1,0,1,27,1,2,6,0,1,1,2,1,2,2,0,0,0,0,14271,14708,2,87
56553,6,2,1,2,28,346,346,1,2,2,1,6,0,3,0,77,7,7,12,12,0,1,2,46,2,1,4,0,1,2,2,2,2,2,1,2,2,1,16281,16203,2,85
56554,6,2,2,2,53,642,643,3,2,1,1,0,0,5,0,1,2,2,9,9,3,0,1,51,1,3,1,5,1,2,2,1,2,2,1,2,2,1,78691,79719,1,80
56555,6,2,1,1,20,243,244,3,2,1,1,0,0,3,0,5,3,3,3,3,0,0,2,40,1,4,4,0,1,2,2,1,2,2,1,2,2,1,33153,34480,2,80
56556,6,2,2,2,21,259,260,4,2,1,1,0,0,3,0,5,4,4,6,6,1,2,2,39,1,3,5,0,1,2,2,1,2,2,1,2,2,1,26752,26872,2,84
56557,6,2,2,2,0,9,9,3,0,1,1,0,0,0,0,0,4,4,12,12,0,0,1,34,1,4,1,5,1,1,2,1,2,2,0,0,0,0,27032,28171,2,75
56558,6,2,1,2,4,54,55,1,0,1,1,0,0,0,0,0,6,6,3,3,0,0,2,38,2,1,1,0,2,1,2,2,2,2,0,0,0,0,9724,10728,3,86
56559,6,2,1,2,19,232,233,2,2,4,1,5,13,0,3,0,5,5,4,4,0,0,2,41,4,1,4,0,2,2,2,2,2,2,1,2,2,1,14564,14791,2,82
56560,6,2,1,2,13,156,157,1,0,1,1,0,7,0,1,0,3,3,7,7,1,0,2,32,1,4,1,3,2,1,2,1,2,2,1,2,2,0,15484,15672,2,82
56561,6,2,1,2,80,0,0,5,2,1,1,0,0,1,0,2,7,7,3,3,0,0,2,40,1,3,3,0,1,2,2,1,2,2,1,2,2,0,42413,44362,1,83
56562,6,2,1,1,42,505,506,1,2,2,2,3,0,5,0,1,5,5,8,8,1,0,2,36,2,5,1,5,2,2,1,1,2,1,2,2,2,2,28539,29520,1,75
56563,6,2,2,2,27,329,330,3,2,1,1,0,0,4,0,1,4,3,9,7,2,2,1,27,1,4,1,4,1,2,2,1,2,2,1,2,2,1,72711,74082,1,86
56564,6,2,2,2,40,490,491,3,2,1,1,0,0,4,0,5,2,2,3,3,0,2,2,40,1,4,5,0,1,2,2,1,2,2,1,2,2,1,20809,21396,1,87
56565,6,2,2,1,62,744,745,2,2,4,1,8,0,1,0,1,2,2,6,6,2,0,1,62,4,1,1,2,2,2,2,1,2,2,2,2,2,2,7479,7536,2,78
56566,6,2,1,1,1,12,13,1,0,1,1,0,0,0,0,0,4,4,8,8,2,0,2,28,5,3,1,2,1,1,2,1,2,2,0,0,0,0,8050,8252,1,82
56567,6,2,2,1,74,897,898,3,1,1,1,0,0,1,0,1,2,2,15,15,5,0,1,74,1,1,1,4,1,2,2,1,2,2,1,2,2,0,33722,33645,2,76
56568,6,2,2,2,23,280,281,3,2,1,1,0,0,3,0,6,5,1,9,5,2,2,2,28,1,1,6,0,1,2,2,1,2,2,1,2,2,1,31346,31937,2,78
56569,6,2,1,2,62,746,748,2,2,4,1,99,0,3,0,3,7,7,77,77,0,0,1,47,4,3,1,4,2,2,2,2,2,2,1,2,2,2,8026,7732,2,82
56570,6,2,1,2,52,630,631,1,2,2,1,7,0,1,0,1,7,7,6,6,0,0,1,59,2,1,1,1,2,2,2,1,2,2,2,2,2,2,8022,8061,3,86
56571,6,2,2,2,80,0,0,3,2,1,1,0,0,5,0,2,1,1,4,4,1,0,2,80,1,5,2,0,1,2,2,1,2,2,1,2,2,0,25389,26983,2,76
56572,6,2,1,2,13,164,165,3,0,1,1,0,7,0,1,0,3,3,9,9,3,0,2,43,1,4,1,4,1,1,2,1,2,2,1,2,2,1,83684,85190,2,75
56573,6,2,1,1,74,895,895,3,2,1,1,0,0,3,0,3,1,1,3,3,1,0,1,74,1,3,3,0,1,2,2,1,2,2,1,2,2,0,12140,12768,2,80
