cat,var,count,uniq_count
"Gelatins, ices, sorbets",2,91,82
"Gelatins, ices, sorbets",3,76,62
Grapes,1,146,122
Grapes,2,263,206
Grapes,3,127,102
Grits and other cooked cereals,1,67,53
Grits and other cooked cereals,2,134,111
Grits and other cooked cereals,3,68,60
Ground beef,1,143,128
Ground beef,2,275,253
Ground beef,3,170,155
Ice cream and frozen dairy desserts,1,373,304
Ice cream and frozen dairy desserts,2,588,490
Ice cream and frozen dairy desserts,3,354,297
"Jams, syrups, toppings",1,343,262
"Jams, syrups, toppings",2,530,406
"Jams, syrups, toppings",3,305,249
"Lamb, goat, game",1,26,22
"Lamb, goat, game",2,34,32
"Lamb, goat, game",3,17,15
Lettuce and lettuce salads,1,665,490
Lettuce and lettuce salads,2,1114,790
Lettuce and lettuce salads,3,704,507
Liquor and cocktails,1,169,118
Liquor and cocktails,2,226,169
Liquor and cocktails,3,154,115
Liver and organ meats,1,10,9
Liver and organ meats,2,15,15
Liver and organ meats,3,11,10
Macaroni and cheese,1,111,101
Macaroni and cheese,2,174,154
Macaroni and cheese,3,115,109
Margarine,1,303,207
Margarine,2,500,339
Margarine,3,249,178
Mashed potatoes and white potato mixtures,1,293,254
Mashed potatoes and white potato mixtures,2,416,357
Mashed potatoes and white potato mixtures,3,276,235
Mayonnaise,1,420,331
Mayonnaise,2,620,478
Mayonnaise,3,436,352
Meat mixed dishes,1,302,252
Meat mixed dishes,2,503,426
Meat mixed dishes,3,274,237
Melons,1,143,93
Melons,2,250,173
Melons,3,128,88
Milk shakes and other dairy drinks,1,52,43
Milk shakes and other dairy drinks,2,72,66
Milk shakes and other dairy drinks,3,50,43
Milk substitutes,1,81,52
Milk substitutes,2,202,124
Milk substitutes,3,64,41
"Milk, lowfat",1,210,108
"Milk, lowfat",2,362,195
"Milk, lowfat",3,208,104
"Milk, nonfat",1,193,104
"Milk, nonfat",2,387,191
"Milk, nonfat",3,128,74
"Milk, reduced fat",1,508,275
"Milk, reduced fat",2,924,520
"Milk, reduced fat",3,545,313
"Milk, whole",1,344,199
"Milk, whole",2,511,298
"Milk, whole",3,349,195
Mustard and other condiments,1,448,339
Mustard and other condiments,2,674,498
Mustard and other condiments,3,448,329
Nachos,1,18,17
Nachos,2,33,30
Nachos,3,31,27
Not included in a food category,1,44,37
Not included in a food category,2,125,99
Not included in a food category,3,53,39
Nutrition bars,1,37,27
Nutrition bars,2,43,33
Nutrition bars,3,18,16
Nutritional beverages,1,59,33
Nutritional beverages,2,62,44
Nutritional beverages,3,33,25
Nuts and seeds,1,577,372
Nuts and seeds,2,1048,636
