cat,var,count,uniq_count
"Gelatins, ices, sorbets",1,102,89
"Gelatins, ices, sorbets",2,79,68
"Gelatins, ices, sorbets",3,46,38
Grapes,1,251,204
Grapes,2,169,135
Grapes,3,81,68
Grits and other cooked cereals,1,137,111
Grits and other cooked cereals,2,77,65
Grits and other cooked cereals,3,52,45
Ground beef,1,274,252
Ground beef,2,197,183
Ground beef,3,100,86
Ice cream and frozen dairy desserts,1,582,488
Ice cream and frozen dairy desserts,2,441,361
Ice cream and frozen dairy desserts,3,250,211
"Jams, syrups, toppings",1,525,402
"Jams, syrups, toppings",2,393,302
"Jams, syrups, toppings",3,228,185
"Lamb, goat, game",1,38,35
"Lamb, goat, game",2,22,20
"Lamb, goat, game",3,13,11
Lettuce and lettuce salads,1,1121,805
Lettuce and lettuce salads,2,822,584
Lettuce and lettuce salads,3,439,322
Liquor and cocktails,1,213,161
Liquor and cocktails,2,176,131
Liquor and cocktails,3,132,89
Liver and organ meats,1,13,11
Liver and organ meats,2,13,13
Liver and organ meats,3,8,8
Macaroni and cheese,1,150,137
Macaroni and cheese,2,131,119
Macaroni and cheese,3,101,91
Margarine,1,508,336
Margarine,2,338,237
Margarine,3,184,135
Mashed potatoes and white potato mixtures,1,428,372
Mashed potatoes and white potato mixtures,2,315,268
Mashed potatoes and white potato mixtures,3,222,188
Mayonnaise,1,662,524
Mayonnaise,2,486,378
Mayonnaise,3,282,219
Meat mixed dishes,1,498,413
Meat mixed dishes,2,343,297
Meat mixed dishes,3,198,172
Melons,1,202,145
Melons,2,206,125
Melons,3,82,55
Milk shakes and other dairy drinks,1,82,71
Milk shakes and other dairy drinks,2,56,51
Milk shakes and other dairy drinks,3,27,21
Milk substitutes,1,159,98
Milk substitutes,2,120,74
Milk substitutes,3,58,36
"Milk, lowfat",1,292,165
"Milk, lowfat",2,301,152
"Milk, lowfat",3,134,70
"Milk, nonfat",1,325,164
"Milk, nonfat",2,271,134
"Milk, nonfat",3,99,56
"Milk, reduced fat",1,927,495
