cat,var,count,uniq_count
"Crackers, excludes saltines",2,62,51
"Crackers, excludes saltines",3,549,421
"Crackers, excludes saltines",4,269,212
"Crackers, excludes saltines",6,109,94
"Crackers, excludes saltines",7,30,25
Cream and cream substitutes,1,226,125
Cream and cream substitutes,2,159,91
Cream and cream substitutes,3,1015,521
Cream and cream substitutes,4,541,311
Cream and cream substitutes,6,254,157
Cream and cream substitutes,7,70,40
"Cream cheese, sour cream, whipped cream",1,59,50
"Cream cheese, sour cream, whipped cream",2,67,57
"Cream cheese, sour cream, whipped cream",3,271,228
"Cream cheese, sour cream, whipped cream",4,82,69
"Cream cheese, sour cream, whipped cream",6,48,40
"Cream cheese, sour cream, whipped cream",7,15,13
"Dark green vegetables, excludes lettuce",1,73,59
"Dark green vegetables, excludes lettuce",2,75,58
"Dark green vegetables, excludes lettuce",3,333,277
"Dark green vegetables, excludes lettuce",4,364,276
"Dark green vegetables, excludes lettuce",6,175,133
"Dark green vegetables, excludes lettuce",7,32,27
Diet soft drinks,1,128,72
Diet soft drinks,2,77,49
Diet soft drinks,3,974,429
Diet soft drinks,4,298,154
Diet soft drinks,6,98,62
Diet soft drinks,7,38,25
Diet sport and energy drinks,1,7,4
Diet sport and energy drinks,2,3,3
Diet sport and energy drinks,3,10,10
Diet sport and energy drinks,4,4,4
Diet sport and energy drinks,7,1,1
"Dips, gravies, other sauces",1,120,90
"Dips, gravies, other sauces",2,66,54
"Dips, gravies, other sauces",3,407,319
"Dips, gravies, other sauces",4,207,169
"Dips, gravies, other sauces",6,141,97
"Dips, gravies, other sauces",7,21,18
"Doughnuts, sweet rolls, pastries",1,179,141
"Doughnuts, sweet rolls, pastries",2,100,81
"Doughnuts, sweet rolls, pastries",3,376,299
"Doughnuts, sweet rolls, pastries",4,203,170
"Doughnuts, sweet rolls, pastries",6,91,80
"Doughnuts, sweet rolls, pastries",7,35,29
Dried fruits,1,21,19
Dried fruits,2,33,24
Dried fruits,3,165,117
Dried fruits,4,73,58
Dried fruits,6,44,37
Dried fruits,7,11,9
"Egg rolls, dumplings, sushi",1,10,7
"Egg rolls, dumplings, sushi",2,13,12
"Egg rolls, dumplings, sushi",3,89,75
"Egg rolls, dumplings, sushi",4,35,32
"Egg rolls, dumplings, sushi",6,131,101
"Egg rolls, dumplings, sushi",7,11,10
Egg/breakfast sandwiches (single code),1,53,46
Egg/breakfast sandwiches (single code),2,23,21
Egg/breakfast sandwiches (single code),3,151,134
Egg/breakfast sandwiches (single code),4,116,102
Egg/breakfast sandwiches (single code),6,18,16
Egg/breakfast sandwiches (single code),7,6,5
Eggs and omelets,1,279,215
Eggs and omelets,2,215,171
Eggs and omelets,3,794,615
Eggs and omelets,4,614,481
Eggs and omelets,6,271,215
Eggs and omelets,7,78,63
Enhanced or fortified water,1,19,11
Enhanced or fortified water,2,8,6
Enhanced or fortified water,3,42,31
Enhanced or fortified water,4,16,13
Enhanced or fortified water,6,6,5
Enhanced or fortified water,7,15,7
Fish,1,64,54
Fish,2,93,80
Fish,3,254,223
Fish,4,338,264
Fish,6,252,187
Fish,7,34,28
"Flavored milk, lowfat",1,4,4
"Flavored milk, lowfat",2,5,4
"Flavored milk, lowfat",3,21,19
"Flavored milk, lowfat",4,5,4
"Flavored milk, lowfat",6,2,2
"Flavored milk, nonfat",3,4,4
"Flavored milk, nonfat",4,3,3
"Flavored milk, nonfat",6,1,1
"Flavored milk, reduced fat",1,10,9
"Flavored milk, reduced fat",2,10,8
"Flavored milk, reduced fat",3,34,31
"Flavored milk, reduced fat",4,12,10
"Flavored milk, reduced fat",6,9,8
"Flavored milk, reduced fat",7,3,3
"Flavored milk, whole",1,21,21
"Flavored milk, whole",2,6,6
"Flavored milk, whole",3,16,14
"Flavored milk, whole",4,21,17
"Flavored milk, whole",6,24,21
"Flavored milk, whole",7,1,1
Flavored or carbonated water,1,17,11
Flavored or carbonated water,2,13,11
Flavored or carbonated water,3,108,73
Flavored or carbonated water,4,40,32
Flavored or carbonated water,6,19,13
Flavored or carbonated water,7,13,6
Frankfurter sandwiches (single code),1,19,19
Frankfurter sandwiches (single code),2,18,18
Frankfurter sandwiches (single code),3,149,134
Frankfurter sandwiches (single code),4,130,119
Frankfurter sandwiches (single code),6,12,12
Frankfurter sandwiches (single code),7,12,12
